Rank,Patent_Number,Title,Integrated_Score,Confidence,Technology_Theme,Scientific_Robustness,Manufacturing_Feasibility,Modernization_Potential,Strategic_Fit,NPV_Base,NPV_P10,NPV_P90,Product_Value_Estimate,Serviceable_Market_Size,Benchmark_Industry,Recommendation_Tier,Red_Flags
145,3930765,Rotary displacement pumps,5.47,0.67,enabling_technology,5.5,5.0,6.0,5.5,-15386.0,-24792.0,-6511.0,176884.0,250000.0,Total  Market (without financials),2,Negative NPV in base scenario
146,3930708,Flat cable wire-connector,5.47,0.66,enabling_technology,5.5,5.0,6.0,5.5,-15386.0,-25707.0,-6647.0,176884.0,250000.0,Total  Market (without financials),2,Negative NPV in base scenario
147,3930535,Apparatus for the preparation and dispensing of soft ice-cream,5.47,0.75,apparatus,5.5,5.0,6.0,5.5,-25151.0,-33716.0,-16190.0,221754.0,250000.0,Electrical Equipment,2,Negative NPV in base scenario
148,3935442,Photoflash lamp array having electrically connected reflector,5.46,0.65,enabling_technology,5.5,5.0,6.0,5.5,-27251.0,-45697.0,-11418.0,318391.0,450000.0,Total  Market (without financials),2,Negative NPV in base scenario
149,3934344,Portable chain saw,5.46,0.79,materials,5.5,5.0,6.0,5.5,-34629.0,-44636.0,-26553.0,134972.0,250000.0,Chemical  (Specialty),2,Negative NPV in base scenario
150,3930560,Damping element,5.46,0.78,materials,5.5,5.0,6.0,5.5,-34629.0,-43960.0,-25379.0,134972.0,250000.0,Chemical  (Specialty),2,Negative NPV in base scenario
151,3930690,Agitator shaft seal,5.46,0.77,materials,5.5,5.0,6.0,5.5,-35014.0,-46910.0,-25193.0,161966.0,300000.0,Chemical  (Specialty),2,Negative NPV in base scenario
152,3930768,Blow-head for tubular film,5.46,0.75,materials,5.5,5.0,6.0,5.5,-35727.0,-50376.0,-25342.0,161966.0,300000.0,Chemical  (Specialty),2,Negative NPV in base scenario
153,3930815,Electrostatic apparatus for removing entrained particulate material from a gas stream,5.46,0.78,materials,5.5,5.0,6.0,5.5,-36710.0,-46595.0,-26253.0,134972.0,250000.0,Chemical  (Specialty),2,Negative NPV in base scenario
154,3930893,Conductivity connected charge-coupled device fabrication process,5.42,0.72,process,5.0,5.0,6.0,5.5,50803.0,28532.0,73845.0,279909.0,400000.0,Machinery,2,
155,3930742,Velocity probe for compressor surge control,5.42,0.72,process,5.0,5.0,6.0,5.5,39200.0,22282.0,56205.0,244920.0,350000.0,Machinery,2,
156,3934646,Constant temperature cold-end corrosion probe,5.42,0.7,process,5.0,5.0,6.0,5.5,39200.0,19610.0,59525.0,244920.0,350000.0,Machinery,2,
157,3930358,Alarm clock timer,5.41,0.61,control_systems,5.0,5.0,6.0,5.5,21706.0,5811.0,37967.0,627149.0,250000.0,Software  (System & Application),2,
158,3930624,Aircraft,5.41,0.64,control_systems,5.0,5.0,6.0,5.5,21706.0,6582.0,35681.0,627149.0,250000.0,Software  (System & Application),2,
159,3930414,Method and apparatus for obtaining a representative sample of fluid flowing through a conduit,5.41,0.62,process,5.0,5.0,6.0,5.5,18622.0,6145.0,33497.0,174943.0,250000.0,Machinery,2,
160,3930600,Injection molding device with back pressure control of screw movement,5.4,0.45,materials,5.0,5.0,6.0,5.5,2765.0,-12410.0,21713.0,200027.0,450000.0,Chemical  (Specialty),2,
161,3930809,Assembly fixture for fixed point probe card,5.4,0.45,enabling_technology,5.0,5.0,6.0,5.5,-572.0,-18859.0,16220.0,318391.0,450000.0,Total  Market (without financials),2,Negative NPV in base scenario
162,3934644,Remote engine water cooler,5.4,0.45,materials,5.0,5.0,6.0,5.5,-1976.0,-13730.0,9199.0,217437.0,250000.0,Environmental  & Waste Services,2,Negative NPV in base scenario
163,3934373,Portable surface treating apparatus,5.4,0.45,materials,5.0,5.0,6.0,5.5,-5021.0,-20209.0,8048.0,134972.0,250000.0,Chemical  (Specialty),2,Negative NPV in base scenario
164,3930356,Method and apparatus for influencing the ambient conditions during open-end spinning,5.4,0.45,materials,5.0,5.0,6.0,5.5,-7454.0,-18078.0,4636.0,134972.0,250000.0,Chemical  (Specialty),2,Negative NPV in base scenario
165,3931719,Jewelry Component having mounted stones connected by deformable webs,5.4,0.45,enabling_technology,5.0,5.0,6.0,5.5,-8706.0,-21575.0,4080.0,247638.0,350000.0,Total  Market (without financials),2,Negative NPV in base scenario
166,3930345,Mobile home resilient frost heave compensators,5.4,0.53,enabling_technology,5.0,5.0,6.0,5.5,-12474.0,-24215.0,107.0,212261.0,300000.0,Total  Market (without financials),2,Negative NPV in base scenario
167,3930491,Combination fireplace and space heater,5.4,0.57,enabling_technology,5.0,5.0,6.0,5.5,-12474.0,-22384.0,-733.0,212261.0,300000.0,Total  Market (without financials),2,Negative NPV in base scenario
168,3930378,Axially-displaceable and angularly-movable universal coupling,5.39,0.67,wireless,5.0,5.0,6.0,5.5,-14981.0,-24109.0,-6773.0,168950.0,250000.0,Telecom  (Wireless),2,Negative NPV in base scenario
169,3930785,Portable lighter,5.39,0.65,enabling_technology,5.0,5.0,6.0,5.5,-15386.0,-25086.0,-5345.0,176884.0,250000.0,Total  Market (without financials),2,Negative NPV in base scenario
170,3930701,Portable television cabinet surface extender,5.39,0.63,enabling_technology,5.0,5.0,6.0,5.5,-15386.0,-24842.0,-3335.0,176884.0,250000.0,Total  Market (without financials),2,Negative NPV in base scenario
171,3930277,Mobile floor sweeper,5.39,0.63,enabling_technology,5.0,5.0,6.0,5.5,-15386.0,-26366.0,-5112.0,176884.0,250000.0,Total  Market (without financials),2,Negative NPV in base scenario
172,3933275,Portable wine dispenser,5.39,0.65,enabling_technology,5.0,5.0,6.0,5.5,-15386.0,-25482.0,-5691.0,176884.0,250000.0,Total  Market (without financials),2,Negative NPV in base scenario
173,3934277,Portable swimming pool construction,5.39,0.65,enabling_technology,5.0,5.0,6.0,5.5,-15386.0,-25086.0,-5345.0,176884.0,250000.0,Total  Market (without financials),2,Negative NPV in base scenario
174,3930741,Vibratory compactor attachment,5.39,0.64,enabling_technology,5.0,5.0,6.0,5.5,-15386.0,-25354.0,-4918.0,176884.0,250000.0,Total  Market (without financials),2,Negative NPV in base scenario
175,3930655,Seals for use between two relatively-rotating surfaces,5.39,0.63,enabling_technology,5.0,5.0,6.0,5.5,-15386.0,-26366.0,-5112.0,176884.0,250000.0,Total  Market (without financials),2,Negative NPV in base scenario
176,3930379,"Compensating and equalizing coupling for transmission of large torques, such as between the gear and the propellor of a ship",5.39,0.65,enabling_technology,5.0,5.0,6.0,5.5,-15386.0,-26240.0,-6376.0,176884.0,250000.0,Total  Market (without financials),2,Negative NPV in base scenario
177,3930538,Wellpoint with adjustable valve,5.39,0.63,enabling_technology,5.0,5.0,6.0,5.5,-15386.0,-26366.0,-5112.0,176884.0,250000.0,Total  Market (without financials),2,Negative NPV in base scenario
178,3930705,Electrical connector assembly,5.39,0.64,enabling_technology,5.0,5.0,6.0,5.5,-15386.0,-25354.0,-4918.0,176884.0,250000.0,Total  Market (without financials),2,Negative NPV in base scenario
179,3930437,"Piston structure, particularly for hydraulic machines",5.39,0.67,enabling_technology,5.0,5.0,6.0,5.5,-15386.0,-23762.0,-5731.0,176884.0,250000.0,Total  Market (without financials),2,Negative NPV in base scenario
180,3930518,Valves,5.39,0.67,enabling_technology,5.0,5.0,6.0,5.5,-15386.0,-23762.0,-5731.0,176884.0,250000.0,Total  Market (without financials),2,Negative NPV in base scenario
181,3930618,Balanced sprinkler impact drive,5.39,0.66,enabling_technology,5.0,5.0,6.0,5.5,-15386.0,-25707.0,-6647.0,176884.0,250000.0,Total  Market (without financials),2,Negative NPV in base scenario
182,3930472,Composite oil-cooled piston for an internal combustion engine,5.39,0.78,materials,5.0,5.0,6.0,5.5,-34629.0,-44936.0,-25390.0,134972.0,250000.0,Chemical  (Specialty),2,Negative NPV in base scenario
183,3930420,Steering wheel assembly,5.39,0.75,materials,5.0,5.0,6.0,5.5,-36471.0,-49366.0,-22922.0,179719.0,350000.0,Chemical  (Specialty),2,Negative NPV in base scenario
184,3930551,Electric drive for wheel chairs,5.39,0.78,control_systems,5.0,5.0,6.0,5.5,-36594.0,-47143.0,-25907.0,432582.0,250000.0,Green  & Renewable Energy,2,Negative NPV in base scenario
185,3930542,Rotary harrows,5.39,0.79,enabling_technology,5.0,5.0,6.0,5.5,-37592.0,-47077.0,-28528.0,67838.0,250000.0,Farming/Agriculture,2,Negative NPV in base scenario
186,3930504,Portable light coagulator,5.38,0.76,process,5.0,5.0,6.0,5.5,-42652.0,-57060.0,-27762.0,324143.0,250000.0,Power,2,Negative NPV in base scenario
